Rank,Configuration ID,canny_aperture,canny_high,canny_low,ksize,mode,Accuracy,Precision,Recall,F1-Score,Training Time (s),Max Memory Usage (MB)
1,170,7,200,50,3,canny_sobel,0.85,0.7692307692307693,1.0,0.8695652173913043,87.75355744361877,0.00390625
2,179,7,250,50,5,sobel,0.85,0.7692307692307693,1.0,0.8695652173913043,87.48601603507996,0.0
3,119,7,250,100,5,sobel,0.8,0.7142857142857143,1.0,0.8333333333333334,96.84853768348694,0.0
4,5,5,250,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.18342089653015,0.00390625
5,12,3,250,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.99790215492249,0.0
6,21,3,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.31379461288452,0.0
7,35,7,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,85.4985454082489,0.0078125
8,43,5,200,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,91.10583448410034,-59.8984375
9,51,5,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.04012179374695,0.0
10,87,3,200,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.03063225746155,0.0078125
